nombre,código,"Cod. Materia",Semestre,Grupo,,,"Descripcion Evaluacion",Porcentaje,Descripcion,"Nom. Materia",,Nota,"Nota Definitiva"
Alba,16,ST0242,20142,33,,,"Parcial número 3",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,40,44

Alba,16,ST0242,20142,33,,,"Quizzes semanales",10,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,50,44

Alba,16,ST0242,20142,33,,,"Parcial número 1",10,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,34,44

Albert,17,ST0242,20142,34,,,Quices,10,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,50,42

Albert,17,ST0242,20142,34,,,"Primer parcial",10,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,21,42

Albert,17,ST0242,20142,34,,,"Sustentación. Fecha del examen final.",20,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,49,42

Albert,17,ST0242,20142,34,,,"Diseño del problema",5,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,40,42

Albert,17,ST0242,20142,34,,,"Segundo parcial",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,46,42

Albert,17,ST0242,20142,34,,,Tareas,20,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,36,42

Albert,17,ST0242,20142,34,,,"Tercer parcial",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,42,42

Albert,17,ST0242,20142,34,,,"Análisis del problema",5,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,45,42

Alberto,18,ST0242,20142,33,,,"Parcial número 3",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,29,33

Alberto,18,ST0242,20142,33,,,"Parcial número 1",10,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,31,33

Alberto,18,ST0242,20142,33,,,"Talleres semanales",20,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,16,33

Alberto,18,ST0242,20142,33,,,"Quizzes semanales",10,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,50,33

Alberto,18,ST0242,20142,33,,,"Práctica Final",30,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,43,33

Alberto,18,ST0242,20142,33,,,"Parcial número 2",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,30,33

Albina,19,ST0242,20142,33,,,"Talleres semanales",20,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,0,3

Albina,19,ST0242,20142,33,,,"Quizzes semanales",10,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,30,3

Albina,19,ST0242,20142,33,,,"Parcial número 3",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,0,3

Albina,19,ST0242,20142,33,,,"Parcial número 1",10,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,0,3

Albina,19,ST0242,20142,33,,,"Parcial número 2",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,0,3

Albina,19,ST0242,20142,33,,,"Práctica Final",30,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,0,3

Alejandra,20,ST0242,20142,33,,,"Talleres semanales",20,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,45,48

Alejandra,20,ST0242,20142,33,,,"Parcial número 3",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,50,48

Alejandra,20,ST0242,20142,33,,,"Parcial número 1",10,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,45,48

Alejandra,20,ST0242,20142,33,,,"Parcial número 2",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,50,48

Alejandra,20,ST0242,20142,33,,,"Quizzes semanales",10,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,50,48

Alejandra,20,ST0242,20142,33,,,"Práctica Final",30,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,48,48

Alejandro,21,ST0242,20142,33,,,"Práctica Final",30,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,50,39

Alejandro,21,ST0242,20142,33,,,"Talleres semanales",20,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,32,39

Alejandro,21,ST0242,20142,33,,,"Parcial número 1",10,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,31,39

Alejandro,21,ST0242,20142,33,,,"Quizzes semanales",10,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,50,39

Alejandro,21,ST0242,20142,33,,,"Parcial número 3",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,25,39

Alejandro,21,ST0242,20142,33,,,"Parcial número 2",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,35,39

Alejo,22,ST0242,20142,34,,,"Tercer parcial",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,43,45

